@relation dataset

@attribute ID numeric
@attribute Time date 'yyyy/MM/dd HH:mm:ss:SSS'
@attribute 'Training round' numeric
@attribute inputs-1 numeric
@attribute inputs-2 numeric
@attribute inputs-3 numeric
@attribute inputs-4 numeric
@attribute outputs-1 numeric
@attribute outputs-2 numeric
@attribute outputs-3 numeric

@data
287,'2025/10/01 22:29:05:195',3,61,0,117,50,0.933227,0.560459,0.791331
288,'2025/10/01 22:29:05:246',3,56,0,103,47,0.933227,0.560459,0.791331
289,'2025/10/01 22:29:05:312',3,56,0,103,47,0.933227,0.560459,0.791331
290,'2025/10/01 22:29:05:378',3,56,0,103,47,0.933227,0.560459,0.791331
291,'2025/10/01 22:29:05:421',3,60,0,103,46,0.933227,0.560459,0.791331
292,'2025/10/01 22:29:05:490',3,60,0,104,38,0.933227,0.560459,0.791331
293,'2025/10/01 22:29:05:543',3,60,0,103,34,0.933227,0.560459,0.791331
294,'2025/10/01 22:29:05:611',3,60,0,107,30,0.933227,0.560459,0.791331
295,'2025/10/01 22:29:05:679',3,60,0,109,29,0.933227,0.560459,0.791331
296,'2025/10/01 22:29:05:754',3,60,0,109,30,0.933227,0.560459,0.791331
297,'2025/10/01 22:29:05:847',3,60,0,109,30,0.933227,0.560459,0.791331
298,'2025/10/01 22:29:05:909',3,60,0,109,27,0.933227,0.560459,0.791331
299,'2025/10/01 22:29:05:979',3,61,0,109,29,0.933227,0.560459,0.791331
300,'2025/10/01 22:29:06:033',3,61,0,109,27,0.933227,0.560459,0.791331
301,'2025/10/01 22:29:06:088',3,60,0,109,28,0.933227,0.560459,0.791331
302,'2025/10/01 22:29:06:158',3,60,0,109,29,0.933227,0.560459,0.791331
303,'2025/10/01 22:29:06:229',3,60,0,110,29,0.933227,0.560459,0.791331
304,'2025/10/01 22:29:06:274',3,60,0,110,29,0.933227,0.560459,0.791331
305,'2025/10/01 22:29:06:346',3,60,0,109,26,0.933227,0.560459,0.791331
306,'2025/10/01 22:29:06:398',3,61,0,109,23,0.933227,0.560459,0.791331
